"","SYMBOL","tstat","pval","adjp"
"1","CSRP1",10.0286177580351,1.83469552675869e-15,3.36589018550706e-14
"2","C7",9.81756328627416,4.87434972314227e-15,8.39118824133841e-14
"3","AGTR1",9.89772407754982,1.84507111544051e-14,2.95211378470482e-13
"4","THSD7A",10.0756651155628,3.31078805952255e-15,5.79961027265686e-14
"5","HS3ST3A1",9.81390384493726,2.91726283434704e-15,5.13603026085345e-14
"6","C1QTNF3",9.90903496216538,5.68643780640399e-15,9.69833496322306e-14
"7","SGIP1",9.96490927364188,3.08144888694836e-15,5.41689544517327e-14
"8","RNF150",10.1393856565185,2.6199631250625e-15,4.66154629551834e-14
"9","JPH2",10.1014188471142,3.03875958716862e-15,5.34723662838865e-14
"10","MYCT1",10.019685848777,2.62105160921818e-15,4.66154629551834e-14
