"","gs_name","stat_est","pval","adjp"
"1","HALLMARK_TNFA_SIGNALING_VIA_NFKB","2.41599181432039","0.0447799957275831",0.0595102574800775
"2","HALLMARK_WNT_BETA_CATENIN_SIGNALING","19.6017785981957","0.00557124051847282",0.00827493077008463
"3","HALLMARK_APOPTOSIS","4.45549795331174","0.00151401697850717",0.00235254945891114
"4","HALLMARK_ESTROGEN_RESPONSE_LATE","4.43511034505333","0.000176900751666999",0.000330869924414202
"5","HALLMARK_MYOGENESIS","3.31728724350645","0.00710377351124528",0.0103982771686344
"6","HALLMARK_PROTEIN_SECRETION","9.41916881004286","0.000296096843118715",0.00052466282728053
"7","HALLMARK_APICAL_JUNCTION","2.62109619919987","0.0325372431762507",0.0444089400108287
"8","HALLMARK_COMPLEMENT","3.92662997713478","0.000827944316387683",0.00139370626591927
"9","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","3.81305134529749","0.0488311305790234",0.0640512232270307
"10","HALLMARK_PI3K_AKT_MTOR_SIGNALING","6.162033971163","0.00513506559897725",0.00774091978353287
"11","HALLMARK_MTORC1_SIGNALING","3.73954251104696","0.00114531161806555",0.0018074448972597
"12","HALLMARK_E2F_TARGETS","3.73954251104696","0.00114531161806555",0.0018074448972597
"13","HALLMARK_INFLAMMATORY_RESPONSE","4.10890494456763","0.000609796284229211",0.00104388855435848
"14","HALLMARK_GLYCOLYSIS","4.41030603545143","0.000184618959638545",0.00033902754406351
"15","HALLMARK_P53_PATHWAY","2.57739655964791","0.034787164867114",0.0468467153543802
"16","HALLMARK_UV_RESPONSE_UP","4.89424245703484","0.000903424625690899",0.00147170785798034
"17","HALLMARK_UV_RESPONSE_UP","3.42656605523772","0.0187330579895327",0.0262783174575389
"18","HALLMARK_COAGULATION","5.86609697728644","0.000847372584282947",0.00140302673791111
"19","HALLMARK_IL2_STAT5_SIGNALING","3.35959362063741","0.00389462985807408",0.00595996387371943
"20","HALLMARK_BILE_ACID_METABOLISM","4.82751826911289","0.0275750089001066",0.0381517246426132
"21","HALLMARK_SPERMATOGENESIS","5.00773816376728","0.0102502395767766",0.0147896313893491
"22","HALLMARK_KRAS_SIGNALING_UP","4.38577870701842","0.000192618643436662",0.000347401481912551
"23","HALLMARK_KRAS_SIGNALING_DN","3.33575955091688","0.0118937440042399",0.0169192696398342
"24","HALLMARK_KRAS_SIGNALING_DN","4.91540169032054","0.000394792221155932",0.00068748300580602
